specimen,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21
ILH_Zvejnieki_34.115.228.mrk,-11.963865280151367,-5.313026428222656,412.77056884765625,-14.477060317993164,-10.041824340820313,445.3880310058594,-10.790755271911621,5.285853385925293,425.24041748046875,-13.79311466217041,-5.977929592132568,448.79248046875,-12.910734176635742,-11.258523941040039,419.724365234375,-29.518247604370117,-0.7954962849617004,446.58184814453125,-33.05292892456055,12.725738525390625,447.41278076171875,-36.3441162109375,24.35235023498535,447.5782165527344,-32.53212356567383,9.310548782348633,429.53076171875,-47.72861862182617,47.68910217285156,452.3970947265625,-51.99345397949219,80.91059875488281,433.4686279296875,-71.25849914550781,83.79371643066406,498.95574951171875,-59.49815368652344,86.75041961669922,506.1893005371094,-45.85654067993164,89.9813003540039,502.8038330078125,-55.71910858154297,70.271881103515625,484.1587829589844,-56.94702911376953,51.17996597290039,496.51849365234375,-47.572593688964844,67.42737579345703,454.138427734375,-30.15196418762207,45.17498779296875,452.7389831542969,-64.53630065917969,81.38594055175781,500.53265380859375,-60.78279495239258,92.72130584716797,498.0151062011719,-53.25896453857422,86.32611846923828,457.5449523925781
ILH_Zvejnieki_34.118.234.mrk,17.969257354736328,-19.03893280029297,424.3432312011719,17.880170822143555,-18.700258255004883,454.08892822265625,18.549728393554688,-3.759556770324707,433.504638671875,19.35335350036621,-13.83407497406006,453.7062683105469,18.191139221191406,-21.451705932617188,430.7105712890625,2.1558361053466797,-10.398340225219728,452.43304443359375,-5.363492012023926,1.6982818841934204,452.3056945800781,-8.547806739807129,12.261597633361816,453.4120788574219,-2.9151298999786377,-5.509171962738037,437.3085021972656,-17.23863983154297,27.269540786743164,454.5631103515625,-28.94608688354492,58.41691589355469,440.0126037597656,-35.38539123535156,66.96223449707031,485.76812744140625,-26.05456924438477,70.34760284423828,489.6705017089844,-15.871058464050291,76.43705749511719,486.2908935546875,-26.715269088745117,56.12099838256836,477.3990478515625,-25.275957107543945,39.6156120300293,492.9447937011719,-19.76372528076172,52.330684661865234,455.5633239746094,-3.727875232696533,27.64872169494629,452.2160949707031,-29.96811866760254,64.58269500732422,485.2911987304687,-27.4410457611084,75.12684631347656,481.25,-28.719860076904297,65.64215087890625,456.2488708496094
ILH_Zvejnieki_34.22.63_miss.mrk,2.51842856407166,-54.0165367126465,-31.6148643493652,1.43683314323425,-47.1744918823242,1.542600274086,0.413621366024017,-38.1646690368652,-22.7042503356934,1.51410603523254,-43.3015632629395,1.77131080627441,2.66450500488281,-56.5169677734375,-21.9283638000488,-14.5222225189209,-42.7184715270996,0.669206380844116,-22.5061664581299,-35.4381446838379,-1.76129508018494,-28.3571262359619,-24.0105094909668,-5.82202672958374,-22.1873035430908,-40.3194923400879,-20.0491466522217,-42.148193359375,-1.89194905757904,-7.33951473236084,NA,NA,NA,-72.2460861206055,43.2294998168945,21.0292205810547,NA,NA,NA,-52.2671051025391,50.8962326049805,19.6941967010498,-55.8239784240723,27.758716583252,15.0257682800293,-58.3597984313965,15.4325790405273,27.7326107025146,-48.7653007507324,22.521728515625,-10.402904510498,-28.8516254425049,0.249664053320885,-9.75136756896973,-67.006706237793,40.8284187316895,21.6944446563721,-64.4423141479492,51.4023895263672,16.9204368591309,-57.2355270385742,35.422794342041,-13.7968082427979
ILH_Zvejnieki_34.3.16.mrk,-18.797382354736328,-27.38399314880371,437.3435974121094,-18.46985626220703,-27.864036560058594,465.9627990722656,-19.290937423706055,-14.651606559753418,448.518798828125,-18.80666732788086,-23.93245506286621,468.4577941894531,-17.095940977428626,-31.644835121390617,443.988826274045,-35.544715881347656,-23.80544090270996,465.88409423828125,-39.49162292480469,-18.962331771850586,466.03466796875,-49.483123779296875,-4.9739484786987305,466.0945739746094,-42.07865524291992,-18.62569236755371,452.4790954589844,-62.20444869995117,7.556685447692871,469.0478210449219,-74.7517318725586,37.05021286010742,453.4073181152344,-82.80348205566406,45.78217315673828,508.3187255859375,-76.17987060546875,49.28095245361328,510.363525390625,-66.77079772949219,54.70868682861328,506.6206359863281,-72.72396087646484,34.73705291748047,499.39678955078125,-75.0943603515625,21.6066837310791,513.52630615234375,-65.33002471923828,31.649856567382813,471.68695068359375,-51.16767883300781,19.14925765991211,468.34613037109375,-75.35320281982422,45.12624740600586,508.143310546875,-77.34471130371094,53.53360366821289,502.4441223144531,-74.595672607421875,43.77014923095703,468.2798156738281
ILH_Zvejnieki_34.43.112_miss.mrk,-17.5411758422852,-38.4924240112305,441.904754638672,-11.8999919891357,-29.220064163208,467.935791015625,-16.4123096466064,-22.5429878234863,452.133056640625,-12.089056968689,-26.4829425811768,468.362091064453,-16.5729465484619,-39.0900039672852,448.92236328125,4.77793073654175,-19.6450328826904,461.484680175781,NA,NA,NA,NA,NA,NA,5.32241153717041,-24.333137512207,448.197509765625,25.5676803588867,17.7988815307617,457.807800292969,30.9772129058838,45.7415924072266,433.008239746094,50.7855644226074,58.9882125854492,485.080078125,38.9369964599609,61.123950958252,491.243743896484,26.6927928924561,64.8419494628906,488.422119140625,35.2698097229004,44.5594177246094,475.112854003906,43.6150932312012,24.7132015228271,492.807220458984,27.2840480804443,36.7699317932129,452.623596191406,12.5379180908203,16.1034469604492,458.217864990234,44.8293495178223,55.7108879089355,486.370880126953,40.056339263916,66.7873229980469,482.687805175781,34.4707145690918,53.414379119873,450.740936279297
ILH_Zvejnieki_34.46.115.mrk,8.671031951904297,-24.294248580932617,445.93365478515625,9.95055103302002,-24.028209686279297,475.4168395996094,7.927738189697266,-12.143424034118652,452.56561279296875,9.378140449523926,-19.802263259887695,474.65185546875,8.97085189819336,-26.645259857177734,451.87554931640625,-8.604466438293457,-18.7426815032959,473.8857116699219,-16.84682846069336,-6.76637077331543,474.2557373046875,-21.968835830688477,3.8678362369537354,473.2209777832031,-15.6327543258667,-11.247364044189453,458.90869140625,-30.16986846923828,14.93860149383545,477.07171630859375,-38.354698181152344,43.13350296020508,456.1255187988281,-49.96868133544922,50.12934875488281,507.45166015625,-42.595550537109375,56.05984878540039,509.2024841308594,-34.72710418701172,60.245208740234375,504.7827453613281,-38.529964447021484,39.558448791503906,497.8684387207031,-35.33421325683594,27.61420440673828,512.3402099609375,-35.263797760009766,37.06657409667969,479.2127990722656,-22.274738311767578,25.212217330932617,469.7137451171875,-44.80226135253906,50.406715393066406,507.0673522949219,-45.22840118408203,58.75679016113281,502.09503173828125,-41.04096603393555,48.47422790527344,472.4839782714844
ILH_Zvejnieki_34.58.134.mrk,17.62937355041504,-30.314977645874023,425.6532287597656,17.934940338134766,-34.289493560791016,457.4599609375,17.191892623901367,-18.9755916595459,438.27593994140625,17.730560302734375,-29.83139419555664,457.749267578125,17.99857521057129,-33.5238151550293,432.8331604003906,2.089688539505005,-28.155302047729492,453.60577392578125,-6.706505298614502,-17.385095596313477,454.1313781738281,-11.822761535644531,-6.04363489151001,453.1359558105469,-4.51608419418335,-18.513507843017578,438.2697448730469,-23.521190643310547,15.951948165893555,455.8948974609375,-28.5718994140625,40.245025634765625,433.57635498046875,-41.02189254760742,55.42803955078125,488.67181396484375,-32.01666259765625,59.845943450927734,490.0752258300781,-22.033349990844727,61.43871307373047,486.1570129394531,-31.28925323486328,41.89098358154297,481.74200439453125,-30.303956985473633,20.37836456298828,488.8387451171875,-26.055458068847656,37.629600524902344,455.19866943359375,-8.308683395385742,16.09415626525879,452.8610534667969,-36.81865310668945,53.96084213256836,488.68408203125,-34.15001678466797,61.828941345214844,482.4783020019531,-29.773916244506836,49.72069549560547,453.9007873535156
ILH_Zvejnieki_34.66.153.mrk,1.1034953594207764,1.9521180391311646,424.9843444824219,4.796292304992676,-8.417318344116211,451.60760498046875,3.6532833576202393,8.81653118133545,438.9353942871094,5.49748420715332,-4.6256914138793945,452.4696350097656,0.8463236689567566,-2.1619911193847656,430.3377380371094,-11.677573204040527,-1.4839712381362915,453.0308532714844,-17.71466064453125,10.010150909423828,458.0740661621094,-19.57364273071289,21.6003475189209,462.58935546875,-17.8874568939209,12.518377304077148,444.095458984375,-27.497241973876953,34.7698860168457,471.0752258300781,-36.32213592529297,68.78778839111328,472.2820739746094,-37.34956359863281,59.504730224609375,518.06231689453125,-28.997663497924805,63.6554069519043,521.6480712890625,-21.041574478149414,68.00920104980469,516.87591552734375,-29.064058303833008,51.16297149658203,502.10992431640625,-28.928234100341797,31.73046112060547,508.5100402832031,-30.716386795043945,54.29360580444336,479.6077880859375,-13.006112098693848,39.17552185058594,466.4743957519531,-34.124420166015625,57.847286224365234,516.392333984375,-30.520763397216797,68.43421936035156,517.2144775390625,-34.97278594970703,69.02140808105469,483.85186767578125
ILH_Zvejnieki_34.74.164.mrk,-9.652365684509276,-12.4874906539917,428.13421630859375,-12.275856971740724,-6.196398735046387,458.4356689453125,-9.068711280822754,2.3940420150756836,435.6094055175781,-12.751995086669922,-1.1108486652374268,459.0143737792969,-8.968822479248047,-14.311026573181152,436.7701721191406,5.81031608581543,0.06949616223573685,456.9161376953125,12.22492790222168,12.754498481750488,454.7867126464844,18.03927421569824,25.785385131835938,452.0945739746094,14.335107803344728,3.529827117919922,442.0742492675781,31.851097106933594,42.95513916015625,456.6577453613281,42.92442321777344,62.24598693847656,430.0591125488281,47.353004455566406,83.69351959228516,486.4656372070313,37.34894561767578,89.02043914794922,486.7159118652344,27.67306137084961,93.07288360595705,480.6980285644531,34.272926330566406,73.33831024169922,479.9319152832031,33.673160552978516,60.361061096191406,492.74542236328125,33.78297424316406,65.39270782470703,455.79638671875,16.636444091796875,51.61096954345703,451.3768005371094,39.245052337646484,82.5244369506836,484.68316650390625,38.69609832763672,92.13848114013672,478.82342529296875,40.37355422973633,75.74076080322266,451.520263671875
ILH_Zvejnieki_34.85.181.mrk,-0.09362321346998215,-23.447887420654297,433.70330810546875,0.5835443735122681,-22.59036636352539,463.6197204589844,-0.17723077535629272,-11.808557510375977,444.1801452636719,0.9690398573875427,-17.872364044189453,464.8908996582031,0.24207735061645508,-25.64453125,438.48858642578125,16.487552642822266,-17.112194061279297,461.21649169921875,24.87299346923828,-6.49069356918335,460.4173889160156,28.429777145385742,7.470215320587158,458.7614440917969,23.294776916503906,-10.645365715026855,442.71612548828125,41.400787353515625,25.506994247436523,462.9102783203125,52.09592819213867,52.298545837402344,447.29595947265625,61.73030090332031,58.08510208129883,503.7027587890625,50.71137619018555,61.854095458984375,507.09747314453125,40.114837646484375,66.976226806640625,502.67486572265625,49.478816986083984,49.961570739746094,491.9629821777344,49.75753402709961,32.95005798339844,504.8751525878906,45.24046325683594,48.63957977294922,466.7954406738281,27.18150520324707,25.260087966918945,459.4680480957031,55.996803283691406,56.37819290161133,504.3878479003906,53.83596420288086,65.77296447753906,498.8938903808594,51.712642669677734,60.3449592590332,466.9058532714844
