specimen,box,burial,culture,period,labcode,14C,±,status,d13C,d15N,C:N,,,,,,,
ILH_Zvejnieki_34.66.153,34-66,153,Comb Ware,MN,OxA-5968,5745,65,PUBLISHED,,,,,,,,,,
ILH_Zvejnieki_34.67.154,34-67,154,Kunda,MM,Ua-3644,7730,70,PUBLISHED,-24.1,13.4,3.4,,,,,,,
,34-68,155,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.69.157,34-69,157,,EIA,OxA-43283,2577,20,UNPUBLISHED,-22.1,,3.21,,,,,,,
,34-37,158,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.70.159,34-70,159,,EIA,OxA-41070,2421,20,UNPUBLISHED,-22.9,11.4,3.3,,,,,,,
ILH_Zvejnieki_34.71.160,34-71,160,Comb Ware,MN,OxA-41082,5109,22,UNPUBLISHED,-23.1,11.4,3.4,,,,,,,
ILH_Zvejnieki_34.72.162,34-72,162,Comb Ware,MN,Ua-19805,5635,65,PUBLISHED,-22.3,10.1,3.2,,,,,,,
ILH_Zvejnieki_34.73.163,34-73,163,,LBA/EIA,NO DATE,,,,,,,,,,,,,
ILH_Zvejnieki_34.74.164,34-74,164,Comb Ware,MN,Ua-15544,5230,95,PUBLISHED,-22.1,11.7,,,,,,,,
ILH_Zvejnieki_34.75.165,34-75,165,Comb Ware,MN,Ua-19812,5480,100,PUBLISHED,-18.8,12,3.4,,,,,,,
,34-76,166,,,,,,,,,,,,,,,,
,34-77,167,,,,,,,,,,,,,,,,
,34-78,168,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.79.170,34-79,170,Kunda,MM,OxA-5969,8150,80,PUBLISHED,-22.2,12.9,3.3,,,,,,,
ILH_Zvejnieki_34.80.173,34-80,173,Narva,LM/EN,Ua-19816; PSUAMS-2265,5899,28,PUBLISHED,-23.7,12.7,3.1,,,,,,,
ILH_Zvejnieki_34.81.177,34-81,177,Narva,LM/EN,NO DATE,,,,,,,,,,,,,
,34-82,178,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.83.179,34-83,179,Narva,LM/EN,Ua-19807; UBA-26028,5854,38,PUBLISHED,-23.2,11.3,3.15,,,,,,,
ILH_Zvejnieki_34.84.180,34-84,180,Narva,LM/EN,UBA-26029,5968,44,PUBLISHED,-22.6,12,3.2,,,,,,,
ILH_Zvejnieki_34.85.181,34-85,181,Narva,LM/EN,UBA-26030,5937,46,PUBLISHED,-22.8,12.2,3.4,,,,,,,
,34-86,182,,,,,,,,,,,,,,,,
,34-87,183,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.88.184,34-88,184,Comb Ware,MN,OxA-43284,5229,23,UNPUBLISHED,-23.2,12.8,3.3,,,,,,,
ILH_Zvejnieki_34.89.185,34-89,185,Comb Ware,MN,Ua-3641,5230,65,PUBLISHED,-23,,,,,,,,,
,34-90,186,,,,,,,,,,,,,,,,
,34-90,186,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.90.187,34-90,187,Comb Ware,MN,OxA-44363,5055,22,UNPUBLISHED,-24.5,12.2,3.3,,,,,,,
,34-91,191,,,,,,,,,,,,,,,,
,34-92,192,,,,,,,,,,,,,,,,
,34-93,193,,,,,,,,,,,,,,,,
,34-93,195,,,,,,,,,,,,,,,,
,34-94,196,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.95.197,34-95,197,Narva,EN/MN,Ua-19808,6400,95,PUBLISHED,-24.1,13,3.2,,,,,,,
ILH_Zvejnieki_34.96.198,34-96,198,Comb Ware,MN,OxA-43371,5516,21,UNPUBLISHED,-22.5,13.8,3.26,,,,,,,
ILH_Zvejnieki_34.97.199,34-97,199,Comb Ware,MN,Ua-15546,4825,85,PUBLISHED,-23,12,,,,,,,,
ILH_Zvejnieki_34.98.200,34-98,200,Comb Ware,MN,OxA-40905,4927,24,UNPUBLISHED,-22.2,12.7,3.23,,,,,,,
,34-99,201,,,,,,,,,,,,,,,,
,34-100,204,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.101.206,34-101,206,Comb Ware,MN,Ua-3643,5285,50,PUBLISHED,-23.5,11.5,3.3,,,,,,,
ILH_Zvejnieki_34.102.207,34-102,207,Comb Ware,MN,PSUAMS-2237,5180,30,PUBLISHED,-22.2,13.3,,,,,,,,
ILH_Zvejnieki_34.102.208,34-102,208,Comb Ware,MN,Ua-19815,5345,60,PUBLISHED,-22.2,13.6,3.2,,,,,,,
,34-103,209,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.104.210,34-104,210,Comb Ware,MN,OxA-5985,5660,45,PUBLISHED,-23.7,12.5,3.4,,,,,,,
,34-105,211,,,,,,,,,,,,,,,,
ILH_Zvejnieki_34.106.213,34-106,213,Comb Ware,MN,OxA-40906,5384,24,UNPUBLISHED,-23.5,10.9,3.3,,,,,,,
ILH_Zvejnieki_34.107.217,34-107,214,Comb Ware,MN,OxA-45222,5353,23,UNPUBLISHED,-23.48,12.81,3.21,,,,,,,
,34-108,218,,,,,,,,,,,,,,,,
,,219,,,,,,,,,,,,,,,,
